
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    [::]:49152             [::]:0                 LISTENING
  TCP    [::]:49153             [::]:0                 LISTENING
  TCP    [::]:49154             [::]:0                 LISTENING
  TCP    [::]:49161             [::]:0                 LISTENING
  TCP    [::]:49164             [::]:0                 LISTENING
  TCP    [::]:49165             [::]:0                 LISTENING
  TCP    [::]:49166             [::]:0                 LISTENING
  TCP    [::]:49169             [::]:0                 LISTENING
  TCP    [::]:49204             [::]:0                 LISTENING
  TCP    [::1]:27275            [::]:0                 LISTENING
  TCP    [::1]:49165            [::1]:58990            ESTABLISHED
  TCP    [::1]:49165            [::1]:59034            ESTABLISHED
  TCP    [::1]:49165            [::1]:59500            ESTABLISHED
  TCP    [::1]:49165            [::1]:63961            ESTABLISHED
  TCP    [::1]:49165            [::1]:63965            ESTABLISHED
  TCP    [::1]:49166            [::1]:63936            ESTABLISHED
  TCP    [::1]:49166            [::1]:63937            ESTABLISHED
  TCP    [::1]:49166            [::1]:63938            ESTABLISHED
  TCP    [::1]:49166            [::1]:63939            ESTABLISHED
  TCP    [::1]:49166            [::1]:63942            ESTABLISHED
  TCP    [::1]:49166            [::1]:63943            ESTABLISHED
  TCP    [::1]:49166            [::1]:63946            ESTABLISHED
  TCP    [::1]:49166            [::1]:63950            ESTABLISHED
  TCP    [::1]:49166            [::1]:63951            ESTABLISHED
  TCP    [::1]:49166            [::1]:63954            ESTABLISHED
  TCP    [::1]:49166            [::1]:63955            ESTABLISHED
  TCP    [::1]:49166            [::1]:63958            ESTABLISHED
  TCP    [::1]:49166            [::1]:63959            ESTABLISHED
  TCP    [::1]:49166            [::1]:63963            ESTABLISHED
  TCP    [::1]:49166            [::1]:63964            ESTABLISHED
  TCP    [::1]:49456            [::]:0                 LISTENING
  TCP    [::1]:58990            [::1]:49165            ESTABLISHED
  TCP    [::1]:59034            [::1]:49165            ESTABLISHED
  TCP    [::1]:59500            [::1]:49165            ESTABLISHED
  TCP    [::1]:63734            [::1]:49165            TIME_WAIT
  TCP    [::1]:63736            [::1]:49165            TIME_WAIT
  TCP    [::1]:63737            [::1]:49165            TIME_WAIT
  TCP    [::1]:63745            [::1]:49166            TIME_WAIT
  TCP    [::1]:63746            [::1]:49166            TIME_WAIT
  TCP    [::1]:63747            [::1]:49166            TIME_WAIT
  TCP    [::1]:63748            [::1]:49166            TIME_WAIT
  TCP    [::1]:63751            [::1]:49166            TIME_WAIT
  TCP    [::1]:63752            [::1]:49166            TIME_WAIT
  TCP    [::1]:63755            [::1]:49166            TIME_WAIT
  TCP    [::1]:63758            [::1]:49166            TIME_WAIT
  TCP    [::1]:63759            [::1]:49166            TIME_WAIT
  TCP    [::1]:63762            [::1]:49166            TIME_WAIT
  TCP    [::1]:63763            [::1]:49166            TIME_WAIT
  TCP    [::1]:63766            [::1]:49166            TIME_WAIT
  TCP    [::1]:63767            [::1]:49166            TIME_WAIT
  TCP    [::1]:63770            [::1]:49165            TIME_WAIT
  TCP    [::1]:63771            [::1]:49166            TIME_WAIT
  TCP    [::1]:63772            [::1]:49166            TIME_WAIT
  TCP    [::1]:63773            [::1]:49165            TIME_WAIT
  TCP    [::1]:63777            [::1]:49166            TIME_WAIT
  TCP    [::1]:63778            [::1]:49166            TIME_WAIT
  TCP    [::1]:63779            [::1]:49166            TIME_WAIT
  TCP    [::1]:63782            [::1]:49166            TIME_WAIT
  TCP    [::1]:63783            [::1]:49166            TIME_WAIT
  TCP    [::1]:63788            [::1]:49166            TIME_WAIT
  TCP    [::1]:63789            [::1]:49166            TIME_WAIT
  TCP    [::1]:63790            [::1]:49166            TIME_WAIT
  TCP    [::1]:63791            [::1]:49166            TIME_WAIT
  TCP    [::1]:63792            [::1]:49165            TIME_WAIT
  TCP    [::1]:63793            [::1]:49165            TIME_WAIT
  TCP    [::1]:63805            [::1]:49165            TIME_WAIT
  TCP    [::1]:63808            [::1]:49161            TIME_WAIT
  TCP    [::1]:63809            [::1]:49161            TIME_WAIT
  TCP    [::1]:63810            [::1]:49161            TIME_WAIT
  TCP    [::1]:63811            [::1]:49161            TIME_WAIT
  TCP    [::1]:63812            [::1]:49161            TIME_WAIT
  TCP    [::1]:63813            [::1]:49161            TIME_WAIT
  TCP    [::1]:63814            [::1]:49161            TIME_WAIT
  TCP    [::1]:63815            [::1]:49161            TIME_WAIT
  TCP    [::1]:63816            [::1]:49161            TIME_WAIT
  TCP    [::1]:63817            [::1]:49161            TIME_WAIT
  TCP    [::1]:63818            [::1]:49161            TIME_WAIT
  TCP    [::1]:63819            [::1]:49161            TIME_WAIT
  TCP    [::1]:63820            [::1]:49161            TIME_WAIT
  TCP    [::1]:63821            [::1]:49161            TIME_WAIT
  TCP    [::1]:63822            [::1]:49161            TIME_WAIT
  TCP    [::1]:63823            [::1]:49161            TIME_WAIT
  TCP    [::1]:63824            [::1]:49161            TIME_WAIT
  TCP    [::1]:63825            [::1]:49161            TIME_WAIT
  TCP    [::1]:63826            [::1]:49166            TIME_WAIT
  TCP    [::1]:63827            [::1]:49166            TIME_WAIT
  TCP    [::1]:63836            [::1]:49161            TIME_WAIT
  TCP    [::1]:63837            [::1]:49161            TIME_WAIT
  TCP    [::1]:63838            [::1]:49166            TIME_WAIT
  TCP    [::1]:63839            [::1]:49166            TIME_WAIT
  TCP    [::1]:63840            [::1]:49161            TIME_WAIT
  TCP    [::1]:63841            [::1]:49161            TIME_WAIT
  TCP    [::1]:63842            [::1]:49166            TIME_WAIT
  TCP    [::1]:63843            [::1]:49166            TIME_WAIT
  TCP    [::1]:63844            [::1]:49161            TIME_WAIT
  TCP    [::1]:63845            [::1]:49161            TIME_WAIT
  TCP    [::1]:63846            [::1]:49166            TIME_WAIT
  TCP    [::1]:63847            [::1]:49166            TIME_WAIT
  TCP    [::1]:63848            [::1]:49161            TIME_WAIT
  TCP    [::1]:63849            [::1]:49161            TIME_WAIT
  TCP    [::1]:63850            [::1]:49166            TIME_WAIT
  TCP    [::1]:63851            [::1]:49166            TIME_WAIT
  TCP    [::1]:63934            [::1]:49161            TIME_WAIT
  TCP    [::1]:63935            [::1]:49161            TIME_WAIT
  TCP    [::1]:63936            [::1]:49166            ESTABLISHED
  TCP    [::1]:63937            [::1]:49166            ESTABLISHED
  TCP    [::1]:63938            [::1]:49166            ESTABLISHED
  TCP    [::1]:63939            [::1]:49166            ESTABLISHED
  TCP    [::1]:63940            [::1]:49161            TIME_WAIT
  TCP    [::1]:63941            [::1]:49161            TIME_WAIT
  TCP    [::1]:63942            [::1]:49166            ESTABLISHED
  TCP    [::1]:63943            [::1]:49166            ESTABLISHED
  TCP    [::1]:63944            [::1]:49161            TIME_WAIT
  TCP    [::1]:63945            [::1]:49161            TIME_WAIT
  TCP    [::1]:63946            [::1]:49166            ESTABLISHED
  TCP    [::1]:63948            [::1]:49161            TIME_WAIT
  TCP    [::1]:63949            [::1]:49161            TIME_WAIT
  TCP    [::1]:63950            [::1]:49166            ESTABLISHED
  TCP    [::1]:63951            [::1]:49166            ESTABLISHED
  TCP    [::1]:63952            [::1]:49161            TIME_WAIT
  TCP    [::1]:63953            [::1]:49161            TIME_WAIT
  TCP    [::1]:63954            [::1]:49166            ESTABLISHED
  TCP    [::1]:63955            [::1]:49166            ESTABLISHED
  TCP    [::1]:63956            [::1]:49161            TIME_WAIT
  TCP    [::1]:63957            [::1]:49161            TIME_WAIT
  TCP    [::1]:63958            [::1]:49166            ESTABLISHED
  TCP    [::1]:63959            [::1]:49166            ESTABLISHED
  TCP    [::1]:63960            [::1]:49161            TIME_WAIT
  TCP    [::1]:63961            [::1]:49165            ESTABLISHED
  TCP    [::1]:63962            [::1]:49161            TIME_WAIT
  TCP    [::1]:63963            [::1]:49166            ESTABLISHED
  TCP    [::1]:63964            [::1]:49166            ESTABLISHED
  TCP    [::1]:63965            [::1]:49165            ESTABLISHED
  UDP    0.0.0.0:53             *:*                    
  UDP    0.0.0.0:500            *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:4500           *:*                    
  UDP    0.0.0.0:5004           *:*                    
  UDP    0.0.0.0:5005           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5355           *:*                    
  UDP    0.0.0.0:27036          *:*                    
  UDP    0.0.0.0:49527          *:*                    
  UDP    0.0.0.0:49529          *:*                    
  UDP    0.0.0.0:49531          *:*                    
  UDP    0.0.0.0:50724          *:*                    
  UDP    0.0.0.0:50746          *:*                    
  UDP    0.0.0.0:50748          *:*                    
  UDP    0.0.0.0:56336          *:*                    
  UDP    0.0.0.0:58013          *:*                    
  UDP    0.0.0.0:59133          *:*                    
  UDP    0.0.0.0:62281          *:*                    
  UDP    0.0.0.0:62282          *:*                    
  UDP    0.0.0.0:62285          *:*                    
  UDP    0.0.0.0:64807          *:*                    
  UDP    127.0.0.1:1900         *:*                    
  UDP    127.0.0.1:44301        *:*                    
  UDP    127.0.0.1:48200        *:*                    
  UDP    127.0.0.1:48201        *:*                    
  UDP    127.0.0.1:48202        *:*                    
  UDP    127.0.0.1:48203        *:*                    
  UDP    127.0.0.1:49533        *:*                    
  UDP    127.0.0.1:49534        *:*                    
  UDP    127.0.0.1:50725        *:*                    
  UDP    127.0.0.1:50769        *:*                    
  UDP    127.0.0.1:50770        *:*                    
  UDP    127.0.0.1:50771        *:*                    
  UDP    127.0.0.1:50772        *:*                    
  UDP    127.0.0.1:50773        *:*                    
  UDP    127.0.0.1:50774        *:*                    
  UDP    127.0.0.1:57636        *:*                    
  UDP    127.0.0.1:59134        *:*                    
  UDP    127.0.0.1:59136        *:*                    
  UDP    127.0.0.1:61308        *:*                    
  UDP    127.0.0.1:61309        *:*                    
  UDP    127.0.0.1:61310        *:*                    
  UDP    127.0.0.1:61311        *:*                    
  UDP    127.0.0.1:61312        *:*                    
  UDP    127.0.0.1:61313        *:*                    
  UDP    127.0.0.1:61314        *:*                    
  UDP    127.0.0.1:61315        *:*                    
  UDP    127.0.0.1:62283        *:*                    
  UDP    127.0.0.1:62284        *:*                    
  UDP    127.0.0.1:65000        *:*                    
  UDP    192.168.1.6:137        *:*                    
  UDP    192.168.1.6:138        *:*                    
  UDP    192.168.1.6:1900       *:*                    
  UDP    192.168.1.6:5353       *:*                    
  UDP    192.168.1.6:5353       *:*                    
  UDP    192.168.1.6:5353       *:*                    
  UDP    192.168.1.6:50765      *:*                    
  UDP    192.168.111.1:137      *:*                    
  UDP    192.168.111.1:138      *:*                    
  UDP    192.168.111.1:1900     *:*                    
  UDP    192.168.111.1:5353     *:*                    
  UDP    192.168.111.1:5353     *:*                    
  UDP    192.168.111.1:5353     *:*                    
  UDP    192.168.111.1:50768    *:*                    
  UDP    192.168.136.1:137      *:*                    
  UDP    192.168.136.1:138      *:*                    
  UDP    192.168.136.1:1900     *:*                    
  UDP    192.168.136.1:5353     *:*                    
  UDP    192.168.136.1:5353     *:*                    
  UDP    192.168.136.1:5353     *:*                    
  UDP    192.168.136.1:50767    *:*                    
  UDP    192.168.137.1:67       *:*                    
  UDP    192.168.137.1:68       *:*                    
  UDP    192.168.137.1:137      *:*                    
  UDP    192.168.137.1:138      *:*                    
  UDP    192.168.137.1:1900     *:*                    
  UDP    192.168.137.1:5353     *:*                    
  UDP    192.168.137.1:5353     *:*                    
  UDP    192.168.137.1:5353     *:*                    
  UDP    192.168.137.1:50766    *:*                    
  UDP    [::]:500               *:*                    
  UDP    [::]:547               *:*                    
  UDP    [::]:3540              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:4500              *:*                    
  UDP    [::]:5004              *:*                    
  UDP    [::]:5005              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5355              *:*                    
  UDP    [::]:49528             *:*                    
  UDP    [::]:49530             *:*                    
  UDP    [::]:49532             *:*                    
  UDP    [::]:50747             *:*                    
  UDP    [::]:50749             *:*                    
  UDP    [::]:58014             *:*                    
  UDP    [::]:62286             *:*                    
  UDP    [::]:64808             *:*                    
  UDP    [::1]:1900             *:*                    
  UDP    [::1]:5353             *:*                    
  UDP    [::1]:5353             *:*                    
  UDP    [::1]:5353             *:*                    
  UDP    [::1]:50764            *:*                    
  UDP    [fe80::10af:2a9a:ab7b:72d8%14]:1900  *:*                    
  UDP    [fe80::10af:2a9a:ab7b:72d8%14]:50762  *:*                    
  UDP    [fe80::684a:10ed:5ce9:7bb2%11]:1900  *:*                    
  UDP    [fe80::684a:10ed:5ce9:7bb2%11]:50760  *:*                    
  UDP    [fe80::6c89:33db:3543:159d%16]:1900  *:*                    
  UDP    [fe80::6c89:33db:3543:159d%16]:50763  *:*                    
  UDP    [fe80::80e0:cbff:870d:ce6%13]:53  *:*                    
  UDP    [fe80::80e0:cbff:870d:ce6%13]:1900  *:*                    
  UDP    [fe80::80e0:cbff:870d:ce6%13]:50761  *:*                    
